Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
201,0,-281.834,235.118,1536.33,-318.87,238.936,1535.85,-279.6,250.373,1483.83
202,0,-281.848,235.156,1536.32,-318.894,238.93,1535.82,-279.604,250.308,1483.79
203,0,-281.875,235.161,1536.27,-318.924,238.927,1535.79,-279.621,250.34,1483.76
204,0,-281.906,235.178,1536.22,-318.935,238.958,1535.74,-279.641,250.298,1483.7
205,0,-281.909,235.183,1536.18,-318.963,238.96,1535.69,-279.662,250.333,1483.65
206,0,-281.928,235.209,1536.12,-319.006,238.947,1535.64,-279.683,250.291,1483.57
207,0,-281.956,235.231,1536.07,-319.018,238.95,1535.57,-279.666,250.299,1483.52
208,0,-281.97,235.253,1536.02,-319.053,238.97,1535.51,-279.683,250.353,1483.5
209,0,-282.009,235.271,1535.99,-319.061,239.033,1535.48,-279.709,250.392,1483.46
210,0,-282.03,235.302,1535.96,-319.076,239.059,1535.43,-279.712,250.414,1483.43
211,0,-282.044,235.369,1535.94,-319.109,239.106,1535.4,-279.757,250.464,1483.34
212,0,-282.083,235.403,1535.91,-319.127,239.17,1535.36,-279.796,250.509,1483.34
213,0,-282.113,235.455,1535.89,-319.155,239.19,1535.3,-279.826,250.539,1483.29
214,0,-282.163,235.509,1535.85,-319.198,239.206,1535.26,-279.871,250.607,1483.28
215,0,-282.201,235.57,1535.81,-319.209,239.247,1535.24,-279.89,250.629,1483.26
216,0,-282.177,235.623,1535.85,-319.257,239.265,1535.21,-279.911,250.692,1483.22
217,0,-282.27,235.68,1535.77,-319.27,239.327,1535.17,-279.956,250.757,1483.19
218,0,-282.291,235.745,1535.75,-319.289,239.358,1535.15,-279.97,250.812,1483.19
219,0,-282.338,235.84,1535.72,-319.34,239.427,1535.12,-280.011,250.884,1483.18
220,0,-282.374,235.912,1535.71,-319.373,239.463,1535.1,-280.029,250.937,1483.15
221,0,-282.413,235.983,1535.65,-319.443,239.532,1535.06,-280.06,251.013,1483.16
222,0,-282.485,236.062,1535.62,-319.489,239.615,1535.03,-280.103,251.084,1483.14
223,0,-282.536,236.119,1535.6,-319.561,239.69,1535,-280.121,251.139,1483.13
224,0,-282.579,236.224,1535.58,-319.611,239.778,1534.98,-280.164,251.196,1483.1
225,0,-282.465,236.345,1535.5,-319.653,239.92,1534.95,-280.184,251.27,1483.1
226,0,-282.623,236.432,1535.5,-319.731,240.085,1534.94,-280.232,251.386,1483.07
227,0,-282.662,236.545,1535.5,-319.762,240.216,1534.91,-280.245,251.461,1483.06
228,0,-282.678,236.717,1535.46,-319.771,240.385,1534.88,-280.282,251.574,1483.01
229,0,-282.691,236.849,1535.47,-319.789,240.508,1534.84,-280.315,251.638,1482.96
230,0,-282.711,236.955,1535.45,-319.785,240.663,1534.8,-280.374,251.724,1482.88
231,0,-282.748,237.066,1535.41,-319.821,240.812,1534.75,-280.424,251.835,1482.81
232,0,-282.813,237.167,1535.4,-319.875,240.932,1534.68,-280.497,251.913,1482.75
233,0,-282.872,237.271,1535.39,-319.926,241.039,1534.66,-280.581,252.004,1482.69
234,0,-282.949,237.391,1535.36,-319.942,241.164,1534.59,-280.61,252.093,1482.65
235,0,-283.012,237.469,1535.33,-320.004,241.276,1534.57,-280.631,252.13,1482.56
236,0,-283.062,237.576,1535.29,-320.047,241.385,1534.54,-280.655,252.177,1482.5
237,0,-283.109,237.696,1535.26,-320.069,241.5,1534.54,-280.708,252.339,1482.51
238,0,-283.139,237.833,1535.22,-320.094,241.613,1534.48,-280.719,252.398,1482.48
239,0,-283.175,237.957,1535.2,-320.153,241.741,1534.47,-280.745,252.579,1482.49
240,0,-283.222,238.144,1535.17,-320.195,241.827,1534.45,-280.72,252.651,1482.44
241,0,-283.248,238.291,1535.14,-320.227,241.935,1534.43,-280.81,252.857,1482.49
242,0,-283.298,238.422,1535.14,-320.283,242.061,1534.42,-280.803,252.918,1482.46
243,0,-283.304,238.548,1535.13,-320.311,242.172,1534.4,-280.831,253.07,1482.44
244,0,-283.35,238.679,1535.15,-320.38,242.311,1534.36,-280.996,253.417,1482.52
245,0,-283.387,238.811,1535.15,-320.427,242.435,1534.36,-280.999,253.586,1482.52
246,0,-283.427,238.972,1535.21,-320.456,242.602,1534.34,-281.033,253.784,1482.49
247,0,-283.48,239.123,1535.21,-320.471,242.771,1534.34,-281.051,254.008,1482.49
248,0,-283.522,239.292,1535.23,-320.474,242.972,1534.37,-281.101,254.156,1482.53
249,0,-283.577,239.495,1535.23,-320.497,243.181,1534.38,-281.127,254.351,1482.54
250,0,-283.652,239.64,1535.21,-320.514,243.368,1534.42,-281.137,254.507,1482.54
251,0,-283.672,239.771,1535.22,-320.484,243.632,1534.49,-281.187,254.647,1482.58
252,0,-283.712,239.981,1535.24,-320.517,243.78,1534.46,-281.202,254.73,1482.59
253,0,-283.732,240.13,1535.23,-320.55,243.951,1534.46,-281.185,254.839,1482.59
254,0,-283.728,240.293,1535.26,-320.562,244.123,1534.51,-281.238,254.943,1482.63
255,0,-283.737,240.436,1535.31,-320.601,244.251,1534.53,-281.226,255.022,1482.66
256,0,-283.765,240.545,1535.32,-320.639,244.378,1534.59,-281.245,255.097,1482.66
257,0,-283.745,240.672,1535.35,-320.683,244.512,1534.63,-281.296,255.201,1482.69
258,0,-283.732,240.823,1535.38,-320.699,244.605,1534.68,-281.286,255.287,1482.72
