X [s],Analog Input adapter 16: Analog.A 16 [V],Analog Input adapter 16: Analog.B 16 [V],Analog Input adapter 16: Analog.C 16 [V],Analog Input adapter 16: Analog.D 16 [V]
3.818571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.837857e-001,2.867989e-001,1.417977e+000,7.047735e-002,1.417350e+000
3.857143e-001,2.867989e-001,1.417977e+000,7.032049e-002,1.417507e+000
3.876429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
3.895714e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417350e+000
3.915000e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417350e+000
3.934286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
3.953571e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417350e+000
3.972857e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417350e+000
3.992143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
4.011429e-001,2.869558e-001,1.418134e+000,7.079109e-002,1.417193e+000
4.030714e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
4.050000e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417350e+000
4.069286e-001,2.863283e-001,1.417977e+000,7.032049e-002,1.417507e+000
4.088571e-001,2.864852e-001,1.418134e+000,7.047735e-002,1.417507e+000
4.107857e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417350e+000
4.127143e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
4.146429e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417507e+000
4.165714e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
4.185000e-001,2.866421e-001,1.417820e+000,7.047735e-002,1.417350e+000
4.204286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
4.223571e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
4.242857e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
4.262143e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
4.281429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
4.300714e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417350e+000
4.320000e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
4.339286e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
4.358571e-001,2.867989e-001,1.417977e+000,7.032049e-002,1.417507e+000
4.377857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
4.397143e-001,2.864852e-001,1.417977e+000,7.079109e-002,1.417350e+000
4.416429e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417507e+000
4.435714e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
4.455000e-001,2.866421e-001,1.417664e+000,7.047735e-002,1.417350e+000
4.474286e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
4.493571e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417507e+000
4.512857e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417664e+000
4.532143e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
4.551429e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
4.570714e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417350e+000
4.590000e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
4.609286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
4.628571e-001,2.863283e-001,1.417977e+000,7.032049e-002,1.417507e+000
4.647857e-001,2.863283e-001,1.418134e+000,7.032049e-002,1.417350e+000
4.667143e-001,2.863283e-001,1.417977e+000,7.032049e-002,1.417350e+000
4.686429e-001,2.866421e-001,1.418134e+000,7.032049e-002,1.417350e+000
4.705714e-001,2.863283e-001,1.417977e+000,7.047735e-002,1.417350e+000
4.725000e-001,2.861715e-001,1.418134e+000,7.047735e-002,1.417350e+000
4.744286e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417664e+000
4.763571e-001,2.863283e-001,1.417977e+000,7.032049e-002,1.417350e+000
4.782857e-001,2.863283e-001,1.417820e+000,7.047735e-002,1.417507e+000
4.802143e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
