Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
225,0,-232.33,192.796,1538.02,-269.679,193.64,1537.23,-231.376,194.658,1483.29
226,0,-232.403,192.623,1537.94,-269.777,193.515,1537.17,-231.472,194.532,1483.26
227,0,-232.497,192.451,1537.86,-269.8,193.432,1537.11,-231.537,194.393,1483.18
228,0,-232.624,192.292,1537.75,-269.963,193.302,1537.11,-231.561,194.265,1483.15
229,0,-232.725,192.144,1537.66,-270.053,193.093,1536.97,-231.683,194.068,1483.03
230,0,-232.841,191.984,1537.57,-270.063,192.828,1536.78,-231.647,193.868,1482.89
231,0,-233.022,191.627,1537.36,-270.165,192.679,1536.63,-231.903,193.516,1482.72
232,0,-233.178,191.441,1537.32,-270.264,192.466,1536.44,-231.901,193.391,1482.68
233,0,-233.241,191.172,1537.12,-270.431,192.211,1536.22,-231.996,193.098,1482.45
234,0,-233.378,191.061,1537.05,-270.519,192.068,1536.12,-232.172,192.872,1482.29
235,0,-233.424,191.014,1536.97,-270.677,191.858,1535.94,-232.263,192.703,1482.14
236,0,-233.471,190.895,1536.82,-270.786,191.656,1535.77,-232.353,192.583,1481.98
237,0,-233.588,190.756,1536.65,-270.917,191.51,1535.63,-232.489,192.433,1481.84
238,0,-233.811,190.649,1536.49,-270.997,191.588,1535.69,-232.584,192.258,1481.67
239,0,-233.855,190.534,1536.35,-271.012,191.415,1535.47,-232.637,192.192,1481.58
240,0,-233.866,190.385,1536.17,-271.077,191.343,1535.38,-232.655,192.187,1481.55
241,0,-233.871,190.18,1536,-271.165,191.262,1535.27,-232.664,192.163,1481.5
242,0,-233.934,190.05,1535.9,-271.298,191.095,1535.15,-232.727,192.063,1481.41
243,0,-234,189.922,1535.83,-271.344,190.963,1535.01,-232.738,191.94,1481.32
244,0,-234.059,189.859,1535.82,-271.421,190.863,1534.9,-232.807,191.797,1481.26
245,0,-234.178,189.655,1535.71,-271.478,190.801,1534.86,-232.891,191.601,1481.18
246,0,-234.266,189.526,1535.67,-271.603,190.606,1534.77,-233.012,191.44,1481.11
247,0,-234.31,189.344,1535.64,-271.693,190.467,1534.74,-233.101,191.242,1481.05
248,0,-234.393,189.232,1535.63,-271.737,190.298,1534.74,-233.164,191.097,1480.97
249,0,-234.469,189.075,1535.62,-271.811,190.164,1534.77,-233.245,190.984,1480.96
250,0,-234.478,188.953,1535.65,-271.87,190.02,1534.8,-233.268,190.918,1480.98
251,0,-234.529,188.788,1535.71,-271.894,189.866,1534.81,-233.221,190.873,1481.04
252,0,-234.554,188.633,1535.77,-271.891,189.766,1534.88,-233.271,190.821,1481.07
253,0,-234.57,188.522,1535.86,-271.903,189.612,1534.94,-233.338,190.771,1481.17
254,0,-234.571,188.424,1535.92,-271.891,189.495,1535.02,-233.392,190.653,1481.22
255,0,-234.578,188.271,1536.02,-271.894,189.339,1535.15,-233.483,190.507,1481.31
256,0,-234.573,188.148,1536.12,-271.887,189.159,1535.28,-233.48,190.353,1481.46
257,0,-234.615,188.002,1536.22,-271.873,189.03,1535.39,-233.545,190.192,1481.6
258,0,-234.606,187.817,1536.35,-271.873,188.889,1535.5,-233.542,190.088,1481.73
259,0,-234.601,187.539,1536.54,-271.834,188.773,1535.65,-233.532,189.978,1481.88
260,0,-234.543,187.302,1536.69,-271.86,188.644,1535.87,-233.509,189.77,1482
261,0,-234.505,187.056,1536.88,-271.867,188.434,1536.1,-233.488,189.599,1482.16
262,0,-234.502,186.933,1536.98,-271.903,188.137,1536.34,-233.457,189.344,1482.28
263,0,-234.566,186.781,1537.11,-271.904,187.886,1536.49,-233.45,189.066,1482.5
264,0,-234.578,186.562,1537.27,-271.906,187.646,1536.64,-233.438,188.881,1482.69
265,0,-234.619,186.393,1537.4,-271.904,187.506,1536.78,-233.431,188.773,1482.89
266,0,-234.613,186.181,1537.57,-271.88,187.338,1536.95,-233.428,188.676,1483
267,0,-234.603,185.991,1537.67,-271.836,187.077,1537.09,-233.511,188.553,1483.15
268,0,-234.587,185.835,1537.77,-271.812,186.849,1537.26,-233.517,188.317,1483.21
269,0,-234.558,185.658,1537.91,-271.775,186.699,1537.38,-233.554,188.184,1483.32
270,0,-234.493,185.415,1538.03,-271.767,186.541,1537.46,-233.532,187.97,1483.41
271,0,-234.512,185.225,1538.2,-271.791,186.442,1537.56,-233.504,187.744,1483.48
272,0,-234.462,185.07,1538.27,-271.8,186.312,1537.59,-233.54,187.606,1483.57
273,0,-234.455,184.938,1538.39,-271.813,186.184,1537.71,-233.549,187.463,1483.64
274,0,-234.42,184.797,1538.53,-271.813,186.043,1537.82,-233.563,187.33,1483.71
275,0,-234.425,184.716,1538.57,-271.823,185.915,1537.91,-233.567,187.202,1483.79
276,0,-234.436,184.639,1538.6,-271.823,185.813,1537.99,-233.604,187.041,1483.84
277,0,-234.441,184.527,1538.67,-271.841,185.723,1538.05,-233.638,187,1483.93
